provider,query_id,model,condition,scaffold_condition,scaffold_dose,output_contract,log_phase_route,log_phase_reasoning_effort,log_phase_max_new_tokens,log_phase_rescue_enabled,log_phase_rescue_used_count,log_phase_rescue_used_rate,final_phase_reasoning_effort,final_phase_max_new_tokens,answer_chars,final_marker_line_present,final_marker_is_last_line,prompt_leakage_flag,ponder_log_count,ponder_log_marker_count,ponder_log_marker_rate,ponder_log_skeleton_prefix_count,ponder_log_skeleton_prefix_rate,ponder_log_skeleton_complete_count,ponder_log_skeleton_complete_rate,final_finish_reason,final_finish_is_length,ponder_finish_length_count,ponder_finish_stop_count,elapsed_s,diff_ratio,answer_cosine,query_alignment_delta,stance_shift,spatial_log_density,api_total_delta,api_prompt_delta,api_completion_delta,external_scaffold_tokens,all_api_calls,all_api_total_tokens,warnings_count
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_low_log2048_rescue_final_low4096,facts,512,log_skeleton_closure,low_2048_rescue__final_low_4096,low,2048,1,0,0.0,low,4096,898.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,32.8622788749999,0.8938053097345133,0.19387140439943346,0.0755497630932028,0.15686274509803924,27.027027027027028,1604.0,792.0,456.0,601.0,11.0,5798.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_medium_log1024_final_medium4096,facts,512,log_skeleton_closure,medium_inherit_no_rescue__final_medium_4096,medium,0,0,0,0.0,medium,4096,863.0,0,0,1,1,0,0.0,3,0.75,0,0.0,stop,0,1,0,43.50873824999985,0.908675799086758,0.18402197824990424,0.02909890875184816,0.22666666666666666,0.0,2530.0,786.0,412.0,565.0,11.0,6724.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure_high_log1024_final2048,isomorphic,128,log_skeleton_closure,,inherit,0,0,0,0.0,inherit,0,139.0,0,0,0,1,0,0.0,4,1.0,0,0.0,length,1,1,0,36.44380404200001,0.8921832884097035,0.0804578988132432,-0.09741071499713819,0.5,0.0,2130.0,703.0,-1.0,183.0,11.0,6324.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure_low_log1024_final2048,isomorphic,128,log_skeleton_closure,low_inherit_no_rescue,low,0,0,0,0.0,inherit,0,131.0,0,0,0,1,0,0.0,3,0.75,0,0.0,length,1,1,0,35.35092366599997,0.8292011019283747,0.06744120089450381,-0.09707301611325332,0.6666666666666667,0.0,2142.0,715.0,-3.0,200.0,11.0,6336.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure_low_log1024_final_low2048,isomorphic,128,log_skeleton_closure,low_inherit_no_rescue__final_low_2048,low,0,0,0,0.0,low,2048,446.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,22.14823212500005,0.8908554572271387,0.12146979846545626,-0.043344758767528066,0.2698412698412698,0.0,578.0,711.0,170.0,187.0,11.0,4772.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure_low_log1024_final_low4096,isomorphic,128,log_skeleton_closure,low_inherit_no_rescue__final_low_4096,low,0,0,0,0.0,low,4096,398.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,21.588260582999965,0.9555555555555556,0.12086337346673384,0.07185172967846355,0.2222222222222222,0.0,682.0,722.0,153.0,201.0,11.0,4876.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure_low_log2048_rescue_final_low4096,isomorphic,128,log_skeleton_closure,low_2048_rescue__final_low_4096,low,2048,1,0,0.0,low,4096,452.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,22.667606666999973,0.956140350877193,0.13293286524162456,0.01827251047286145,0.4027777777777778,0.0,702.0,718.0,176.0,206.0,11.0,4896.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure_medium_log1024_final_medium4096,isomorphic,128,log_skeleton_closure,medium_inherit_no_rescue__final_medium_4096,medium,0,0,0,0.0,medium,4096,617.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,26.306038124999986,0.9222614840989399,0.1669403657441097,0.05023556144401185,0.2777777777777778,13.513513513513514,1148.0,719.0,281.0,197.0,11.0,5342.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_high_log1024_final2048,isomorphic,512,log_skeleton_closure,,inherit,0,0,0,0.0,inherit,0,465.0,0,0,0,1,0,0.0,3,0.75,0,0.0,length,1,1,0,40.43941787500012,0.9081779053084649,0.10820192588491871,-0.06859777260731915,0.37777777777777777,0.0,3165.0,969.0,220.0,573.0,11.0,7359.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_low_log1024_final2048,isomorphic,512,log_skeleton_closure,low_inherit_no_rescue,low,0,0,0,0.0,inherit,0,772.0,0,0,0,1,0,0.0,3,0.75,0,0.0,stop,0,1,0,38.999316375000035,0.8745019920318725,0.18141068612423605,0.06423952334439884,0.16666666666666666,21.27659574468085,3077.0,978.0,393.0,601.0,11.0,7271.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_low_log1024_final_low2048,isomorphic,512,log_skeleton_closure,low_inherit_no_rescue__final_low_2048,low,0,0,0,0.0,low,2048,451.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,27.65032962500004,0.9238653001464129,0.13078305499915585,0.08016324567653399,0.20833333333333334,26.31578947368421,1558.0,1020.0,207.0,609.0,11.0,5752.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_low_log1024_final_low4096,isomorphic,512,log_skeleton_closure,low_inherit_no_rescue__final_low_4096,low,0,0,0,0.0,low,4096,701.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,29.14181091699993,0.9035369774919614,0.16043125891470014,0.04993163240287546,0.2222222222222222,0.0,1759.0,980.0,363.0,568.0,11.0,5953.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_low_log2048_rescue_final_low4096,isomorphic,512,log_skeleton_closure,low_2048_rescue__final_low_4096,low,2048,1,0,0.0,low,4096,487.0,0,0,0,1,1,1.0,4,1.0,1,1.0,stop,0,0,1,28.794416875000024,0.847009735744089,0.15875587972474775,0.06465270614968864,0.15555555555555556,0.0,1557.0,997.0,226.0,587.0,11.0,5751.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_medium_log1024_final_medium4096,isomorphic,512,log_skeleton_closure,medium_inherit_no_rescue__final_medium_4096,medium,0,0,0,0.0,medium,4096,497.0,0,0,0,1,0,0.0,4,1.0,0,0.0,stop,0,1,0,37.93322516600006,0.8491083676268861,0.17100956521429783,0.05433070068339725,0.3194444444444444,0.0,2552.0,967.0,223.0,565.0,11.0,6746.0,0
