provider,query_id,model,condition,scaffold_condition,scaffold_dose,output_contract,log_phase_route,log_phase_reasoning_effort,log_phase_max_new_tokens,log_phase_rescue_enabled,log_phase_rescue_used_rate,final_phase_reasoning_effort,final_phase_max_new_tokens,answer_chars,final_marker_line_present,final_marker_is_last_line,ponder_log_marker_rate,ponder_log_skeleton_prefix_rate,ponder_log_skeleton_complete_rate,final_finish_is_length,ponder_finish_length_count,prompt_leakage_flag,final_finish_reason
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_low_log2048_rescue_final_low4096,facts,512,log_skeleton_closure,low_2048_rescue__final_low_4096,low,2048,1.0,0.0,low,4096,898.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_medium_log1024_final_medium4096,facts,512,log_skeleton_closure,medium_inherit_no_rescue__final_medium_4096,medium,0,0.0,0.0,medium,4096,863.0,0.0,0.0,0.0,0.75,0.0,0.0,1.0,1.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure_high_log1024_final2048,isomorphic,128,log_skeleton_closure,,inherit,0,0.0,0.0,inherit,0,139.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,length
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure_low_log1024_final2048,isomorphic,128,log_skeleton_closure,low_inherit_no_rescue,low,0,0.0,0.0,inherit,0,131.0,0.0,0.0,0.0,0.75,0.0,1.0,1.0,0.0,length
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure_low_log1024_final_low2048,isomorphic,128,log_skeleton_closure,low_inherit_no_rescue__final_low_2048,low,0,0.0,0.0,low,2048,446.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure_low_log1024_final_low4096,isomorphic,128,log_skeleton_closure,low_inherit_no_rescue__final_low_4096,low,0,0.0,0.0,low,4096,398.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure_low_log2048_rescue_final_low4096,isomorphic,128,log_skeleton_closure,low_2048_rescue__final_low_4096,low,2048,1.0,0.0,low,4096,452.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure_medium_log1024_final_medium4096,isomorphic,128,log_skeleton_closure,medium_inherit_no_rescue__final_medium_4096,medium,0,0.0,0.0,medium,4096,617.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_high_log1024_final2048,isomorphic,512,log_skeleton_closure,,inherit,0,0.0,0.0,inherit,0,465.0,0.0,0.0,0.0,0.75,0.0,1.0,1.0,0.0,length
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_low_log1024_final2048,isomorphic,512,log_skeleton_closure,low_inherit_no_rescue,low,0,0.0,0.0,inherit,0,772.0,0.0,0.0,0.0,0.75,0.0,0.0,1.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_low_log1024_final_low2048,isomorphic,512,log_skeleton_closure,low_inherit_no_rescue__final_low_2048,low,0,0.0,0.0,low,2048,451.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_low_log1024_final_low4096,isomorphic,512,log_skeleton_closure,low_inherit_no_rescue__final_low_4096,low,0,0.0,0.0,low,4096,701.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_low_log2048_rescue_final_low4096,isomorphic,512,log_skeleton_closure,low_2048_rescue__final_low_4096,low,2048,1.0,0.0,low,4096,487.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,stop
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_medium_log1024_final_medium4096,isomorphic,512,log_skeleton_closure,medium_inherit_no_rescue__final_medium_4096,medium,0,0.0,0.0,medium,4096,497.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,stop
